state_name,x,y
Andhra Pradesh,-111,-209
Arunachal Pradesh,290,138
Assam,224,88
Bihar,69,77
Chhattisgarh,-21,-38
Goa,-210,-210
Gujarat,-322,8
Haryana,-165,167
Himachal Pradesh,-145,253
Jammu and Kashmir,-172,308
Jharkhand,50,16
Karnataka,-186,-259
Kerala,-159,-324
Madhya Pradesh,-161.0,-5.0
Maharashtra,-221,-119
Manipur,284,38
Meghalaya,210,56
Mizoram,259,5
Nagaland,302,76
Odisha,36,-69
Punjab,-183,220
Rajasthan,-264,99
Sikkim,149,117
Tamil Nadu,-97,-309
Telangana,-100,-147
Tripura,231,8
Uttarakhand,-90,201
Uttar Pradesh,-85,128
West Bengal,130,2
Andaman and Nicobar Islands,264,-279
Chandigarh,-143,216
Dadra and Nagar Haveli,-237,-89
Daman and Diu,-288,-69
Delhi,-131,149
Lakshadweep,-249,-333
Puducherry,-67,-299
